Unnamed: 0,artist_name,track_uri,track_name,name,danceability,energy,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,track_href,genres,78-92bpm,92-101bpm,101-110bpm,110-120bpm,120-128bpm,128-140bpm,140-154bpm,154-170bpm,A#_Bb-Key,A-Key,B-Key,C#_Db-Key,C-Key,D#_Eb-Key,D-Key,E-Key,F#_Gb-Key,F-Key,G#_Ab-Key,G-Key,1-time-sign,3-time-sign,4-time-sign,5-time-sign
0,Mike Stud,6hEZk9hZ5o6lGrHLwLUPcs,Brand New,xx,1,0,0,0,1,0,0,0,132.024,https://api.spotify.com/v1/tracks/6hEZk9hZ5o6lGrHLwLUPcs,indie_pop_rap pop_rap rap rhode_island_rap,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,Mike Stud,3FY0aVnshu1WJRvpv6TKTr,Brightside,xx,1,0,0,0,1,0,0,0,117.084,https://api.spotify.com/v1/tracks/3FY0aVnshu1WJRvpv6TKTr,indie_pop_rap pop_rap rap rhode_island_rap,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2,Mike Stud,4EbN0CxS7sSqPNlr538B61,Jack Daniels,xx,0,0,0,0,1,0,0,0,80.026,https://api.spotify.com/v1/tracks/4EbN0CxS7sSqPNlr538B61,indie_pop_rap pop_rap rap rhode_island_rap,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Mike Stud,5N773ELkkxIbAhMoJr80Lj,Through the Night,xx,0,0,0,0,1,0,0,1,81.323,https://api.spotify.com/v1/tracks/5N773ELkkxIbAhMoJr80Lj,indie_pop_rap pop_rap rap rhode_island_rap,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4,Mike Stud,00pgvR1zUVYubZpdY7jryZ,Spell Check,xx,0,0,0,0,0,0,0,0,129.823,https://api.spotify.com/v1/tracks/00pgvR1zUVYubZpdY7jryZ,indie_pop_rap pop_rap rap rhode_island_rap,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
5,Mike Stud,4AlSFIZqCLxIzJca7cd4fq,Black Out,xx,0,0,0,0,1,0,0,0,169.616,https://api.spotify.com/v1/tracks/4AlSFIZqCLxIzJca7cd4fq,indie_pop_rap pop_rap rap rhode_island_rap,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Tank,2HWelwHQS4EdRqIycZOc3O,When We,xx,0,0,0,0,0,0,0,0,117.863,https://api.spotify.com/v1/tracks/2HWelwHQS4EdRqIycZOc3O,pop_r&b r&b urban_contemporary,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
7,Kevin Gates,1gZNqH0rDxD1mXLeul1Qq7,Time For That,xx,1,0,0,1,0,0,0,0,110.007,https://api.spotify.com/v1/tracks/1gZNqH0rDxD1mXLeul1Qq7,baton_rouge_rap pop_rap rap southern_hip_hop trap,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,Russ,38IIUFYKrYTsEsHsM50DIe,Manifest,xx,0,0,0,0,0,0,0,0,150.292,https://api.spotify.com/v1/tracks/38IIUFYKrYTsEsHsM50DIe,hawaiian_hip_hop rap,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,NO1-NOAH,3lOHsJbgHssCNmzyS3GNfd,Stuck on Stupid - Edit,xx,0,0,0,1,1,0,0,0,138.249,https://api.spotify.com/v1/tracks/3lOHsJbgHssCNmzyS3GNfd,trap_soul,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
